"unit_type","unit","family","variable","component","additional","selection_count","selection_frequency","mean_abs_coefficient","median_abs_coefficient","n_models"
"componente","idade__linear","logistic","idade","linear",FALSE,50,1,0.0336270934531024,0.0320320142233276,50
"componente","idade__spline_1","continuous","idade","spline",TRUE,50,1,0.861209986167873,0.845115200202983,50
"componente","idade__spline_1","logistic","idade","spline",TRUE,50,1,0.341289633181709,0.354509912032533,50
"componente","idade__spline_2","continuous","idade","spline",TRUE,50,1,0.91950779729139,0.916705711386561,50
"componente","idade__spline_2","logistic","idade","spline",TRUE,50,1,0.448829841397185,0.463926267263538,50
"componente","idade__spline_3","continuous","idade","spline",TRUE,50,1,0.765322293592963,0.79320046273477,50
"componente","idade__spline_3","logistic","idade","spline",TRUE,50,1,0.275330735233718,0.284031079204919,50
"componente","idade_x_risser__1","continuous","idade_x_risser","interaction",TRUE,50,1,0.585314900926755,0.572399015866695,50
"componente","idade_x_risser__1","logistic","idade_x_risser","interaction",TRUE,50,1,0.056757082514055,0.049255233414183,50
"componente","idade_x_risser__2","continuous","idade_x_risser","interaction",TRUE,50,1,0.155107146412556,0.13505899208167,50
"componente","idade_x_risser__2","logistic","idade_x_risser","interaction",TRUE,50,1,0.0828564118599779,0.0821816202365195,50
"componente","idade_x_risser__3","continuous","idade_x_risser","interaction",TRUE,50,1,0.0502707474780775,0.0397224396378687,50
"componente","idade_x_risser__3","logistic","idade_x_risser","interaction",TRUE,50,1,0.0682778866954279,0.0562865870505043,50
"componente","idade_x_risser__4","continuous","idade_x_risser","interaction",TRUE,50,1,0.100710194835469,0.101773884608132,50
"componente","idade_x_risser__4","logistic","idade_x_risser","interaction",TRUE,50,1,0.163500770090824,0.165851358095894,50
"componente","imc__linear","continuous","imc","linear",FALSE,50,1,0.0305802850938266,0.02812571355468,50
"componente","imc__linear","logistic","imc","linear",FALSE,50,1,0.0527307935111138,0.051466998973734,50
"componente","imc__spline_1","continuous","imc","spline",TRUE,50,1,0.525981526308192,0.515738805867659,50
"componente","imc__spline_1","logistic","imc","spline",TRUE,50,1,0.258777675127164,0.243302800294464,50
"componente","imc__spline_2","continuous","imc","spline",TRUE,50,1,0.518231961162974,0.528712311994708,50
"componente","imc__spline_2","logistic","imc","spline",TRUE,50,1,0.182207051880325,0.153070289323703,50
"componente","imc__spline_3","continuous","imc","spline",TRUE,50,1,0.628482298324997,0.628885765123129,50
"componente","imc__spline_3","logistic","imc","spline",TRUE,50,1,0.84499658773323,0.862923124644734,50
