"family","scope","repeat_id","outer_fold","n","r2","rmse","mae","calibration_intercept","calibration_slope","auc","brier_score","log_loss"
"continuous","outer_fold",5,3,62,0.376628396038317,4.16782035561021,3.32803725347357,1.21613622657063,1.21812745136636,,,
"logistic","outer_fold",5,3,62,,,,-0.172555758619938,1.17343222666196,0.848958333333333,0.158685177915932,0.475521143480681
"continuous","outer_fold",1,4,62,0.308682004320152,5.0380925812246,4.03836663035056,0.0690886961611016,1.17876634699711,,,
"logistic","outer_fold",1,4,62,,,,0.0422352550516085,1.33900520253458,0.878125,0.147875205888152,0.457247019140341
"continuous","outer_fold",2,4,62,0.427821878968631,3.95445312219371,3.22781318653923,1.41765972178415,1.29159578085684,,,
"logistic","outer_fold",2,4,62,,,,0.140218424042854,1.47323683018171,0.865625,0.143035358170841,0.447721937831265
"continuous","outer_fold",3,4,62,0.307882998661632,4.68460739978789,3.54399426054059,1.41130204744179,1.3230307840691,,,
"logistic","outer_fold",3,4,62,,,,-0.0248403770996551,1.2558053162714,0.833333333333333,0.168851819623983,0.505157978597999
"continuous","outer_fold",4,4,62,0.436176771909063,4.28763401437302,3.43543407579285,0.73995798443121,1.04854745077073,,,
"logistic","outer_fold",4,4,62,,,,-0.117959601977297,1.12896690644266,0.857291666666667,0.150174755809308,0.464346193682698
"continuous","outer_fold",5,4,62,0.439040970831883,3.52511961741062,2.9927553528104,1.56210986545587,1.21299049671851,,,
"logistic","outer_fold",5,4,62,,,,-0.320659318950768,1.05538010953253,0.828125,0.170966221009401,0.517281175717902
"continuous","outer_fold",1,5,62,0.495693915178848,4.57068718112841,3.81365610227216,3.07628553977317,1.58992629561193,,,
"logistic","outer_fold",1,5,62,,,,-0.203077824073164,1.79300634323718,0.913541666666667,0.125851057238522,0.395718846993427
"continuous","outer_fold",2,5,62,0.377770724131205,4.56855700138123,3.67735033508824,0.974935714604346,1.07823637010506,,,
"logistic","outer_fold",2,5,62,,,,0.0520107327293055,0.953951597021563,0.846875,0.159100648744971,0.476382693539939
"continuous","outer_fold",3,5,62,0.331739181845207,4.40634739508652,3.48357599480752,0.773190431953778,1.12182423355534,,,
"logistic","outer_fold",3,5,62,,,,0.070075230713555,1.4257748828572,0.877083333333333,0.148648956516033,0.463064436640993
"continuous","outer_fold",4,5,62,0.4438080111295,4.07227984901361,3.06972865611321,-0.117466933319929,1.1420604594614,,,
