"model","term","x","component_residual_smooth"
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",17,1.42668443691418
"linear","idade",18,1.58517060883411
"linear","imc",13.2590930940554,-0.0110454318738562
"linear","imc",13.735691987513,0.0238879693044559
"linear","imc",13.735691987513,0.0238879693044559
"linear","imc",13.735691987513,0.0238879693044559
"linear","imc",13.9633349849106,0.0405048835494976
"linear","imc",13.9633349849106,0.0405048835494976
"linear","imc",14.1533933518006,0.0545647859724614
"linear","imc",14.3854227715915,0.0717997723786055
"linear","imc",14.5243282498184,0.0819950432015835
"linear","imc",14.5243282498184,0.0819950432015835
"linear","imc",14.5681581685744,0.0852120357750213
"linear","imc",14.6428571428571,0.0905955534829201
"linear","imc",14.6428571428571,0.0905955534829201
"linear","imc",14.692378328742,0.0941645205763367
"linear","imc",14.692378328742,0.0941645205763367
"linear","imc",14.7087191358025,0.0953421943665898
"linear","imc",14.7087191358025,0.0953421943665898
"linear","imc",14.8173504816861,0.102998866266259
"linear","imc",14.8728293975713,0.10690919116214
"linear","imc",14.8728293975713,0.10690919116214
"linear","imc",14.8914007947224,0.108218160443041
"linear","imc",14.8914007947224,0.108218160443041
"linear","imc",14.9333333333333,0.111092284716917
"linear","imc",14.9333333333333,0.111092284716917
"linear","imc",14.9777777777778,0.114138579094704
"linear","imc",14.9777777777778,0.114138579094704
"linear","imc",15.0531286894923,0.119303252915839
"linear","imc",15.0531286894923,0.119303252915839
"linear","imc",15.0551394482291,0.119441073584127
"linear","imc",15.2416896501669,0.131967431656554
"linear","imc",15.2439024390244,0.132116014640004
"linear","imc",15.2439024390244,0.132116014640004
"linear","imc",15.4006243496358,0.142529747510166
"linear","imc",15.4164469146821,0.143581112728154
"linear","imc",15.437904983726,0.145006941433665
"linear","imc",15.437904983726,0.145006941433665
"linear","imc",15.5381557061138,0.151756816633369
"linear","imc",15.5381557061138,0.151756816633369
"linear","imc",15.5381557061138,0.151756816633369
"linear","imc",15.580686950737,0.154620442814374
"linear","imc",15.580686950737,0.154620442814374
"linear","imc",15.580686950737,0.154620442814374
"linear","imc",15.6012818350481,0.156007095155034
"linear","imc",15.6012818350481,0.156007095155034
"linear","imc",15.6192949004016,0.157219913778229
"linear","imc",15.6192949004016,0.157219913778229
"linear","imc",15.7004340946894,0.16293567476364
"linear","imc",15.7004340946894,0.16293567476364
"linear","imc",15.7004340946894,0.16293567476364
"linear","imc",15.7010657427306,0.162980170512726
"linear","imc",15.7010657427306,0.162980170512726
"linear","imc",15.7426694439994,0.165910897329131
"linear","imc",15.7426694439994,0.165910897329131
"linear","imc",15.7430481389186,0.165937574074735
"linear","imc",15.7752341311134,0.168204880770086
"linear","imc",15.7752341311134,0.168204880770086
"linear","imc",15.7808357530615,0.16859948084551
"linear","imc",15.7887811938073,0.169159188649184
"linear","imc",15.8221589335865,0.17151044668774
"linear","imc",15.8221589335865,0.17151044668774
"linear","imc",15.8221589335865,0.17151044668774
"linear","imc",15.8566335147307,0.174132932547769
"linear","imc",15.8566335147307,0.174132932547769
"linear","imc",15.8566335147307,0.174132932547769
"linear","imc",15.859375,0.174341477687855
"linear","imc",15.8944485166467,0.177009524649259
"linear","imc",15.96556990143,0.182419737616294
"linear","imc",15.96556990143,0.182419737616294
"linear","imc",16,0.185038839681133
"linear","imc",16,0.185038839681133
"linear","imc",16.0036579789666,0.185317102615673
"linear","imc",16.0145429362881,0.186145122731223
