"family","repeat_id","outer_fold","config_id","alpha","lambda_fraction","lambda","lambda_max","best_mean_metric","best_se_metric","one_se_threshold","selected_mean_metric","selected_se_metric","converged","objective","kkt_max","failure_reason","n_features"
"continuous",1,8,11,0,0.01,0.57359596955855,57.3595969558549,4.0893616182362,0.228946948044057,4.31830856628025,4.12100038088144,0.201518558212143,TRUE,8.78759136130134,0.00000000581135196214833,,48
"logistic",1,8,11,0,0.01,0.0525756858372423,5.25756858372423,0.467569088832212,0.0107056221825652,0.478274711014777,0.473402425624348,0.0102271113559942,TRUE,0.462746043792004,0.000000000122216127843022,,48
"continuous",1,9,11,0,0.01,0.57042202242574,57.042202242574,4.23374332993939,0.132726989895158,4.36647031983455,4.25167367885196,0.177159596102088,TRUE,9.20227799188977,0.00000000627624986010433,,48
"logistic",1,9,11,0,0.01,0.0530554921774342,5.30554921774341,0.483899215566856,0.0131493674741986,0.497048583041054,0.483899215566856,0.0131493674741986,TRUE,0.465669997097795,0.00000000000570133371936843,,48
"continuous",1,10,11,0,0.01,0.54882365246114,54.882365246114,4.2555453650832,0.124004940820958,4.37955030590416,4.2555453650832,0.124004940820958,TRUE,9.00371672249565,0.00000000506569078871644,,48
"logistic",1,10,11,0,0.01,0.0515245534716459,5.15245534716459,0.490787578016353,0.0164285200539863,0.507216098070339,0.490807057795995,0.0154819773151571,TRUE,0.473873141909091,0.000000000112139608363093,,48
"continuous",2,1,11,0,0.01,0.564587578697475,56.4587578697475,4.08989353107119,0.156960284233915,4.2468538153051,4.14475973684037,0.158645594212417,TRUE,9.01912099271022,0.00000000774009395118624,,48
"logistic",2,1,11,0,0.01,0.0516402185672332,5.16402185672332,0.46830774783417,0.0370205922758672,0.505328340110037,0.477206916223458,0.0288483027870197,TRUE,0.46776523970126,0.00000000000587104366858715,,48
"continuous",2,2,11,0,0.01,0.560418571595349,56.0418571595348,4.11984050447212,0.219432076798339,4.33927258127046,4.17354188041638,0.221831596621341,TRUE,9.00717263094845,0.00000000804250216424052,,48
"logistic",2,2,11,0,0.01,0.0522813454957223,5.22813454957223,0.483265841462886,0.0356656067735651,0.518931448236451,0.484985835367446,0.0292453385918428,TRUE,0.471469656672965,0.00000000011664056526195,,48
"continuous",2,3,11,0,0.01,0.554109356281006,55.4109356281006,4.24457764912055,0.0686042387250225,4.31318188784557,4.26393931649563,0.0871308225630337,TRUE,9.17064329989281,0.00000000808895470050253,,48
"logistic",2,3,11,0,0.01,0.0516102982292182,5.16102982292182,0.475089347331915,0.0212893842871391,0.496378731619054,0.479431947975377,0.0176630568432163,TRUE,0.469968956138197,0.0000000000635122406056343,,48
"continuous",2,4,11,0,0.01,0.559510372761705,55.9510372761704,4.12707360262034,0.0626812517852441,4.18975485440559,4.18454849011958,0.0591902501134534,TRUE,9.13642927153456,0.00000000578847203502875,,48
"logistic",2,4,11,0,0.01,0.0515083856592694,5.15083856592694,0.492442915021972,0.0279559020920309,0.520398817114003,0.492442915021972,0.0279559020920309,TRUE,0.470325144215796,0.000000000121181804174642,,48
"continuous",2,5,11,0,0.01,0.559155432013372,55.9155432013372,4.13903664702876,0.2153139657406,4.35435061276936,4.16854467737362,0.203731534672466,TRUE,8.82886575231752,0.00000000717092982910339,,48
"logistic",2,5,11,0,0.01,0.0527151041415163,5.27151041415163,0.481230853105436,0.00610212145829278,0.487332974563729,0.481230853105436,0.00610212145829278,TRUE,0.467335273849667,0.000000000111846375043523,,48
