"order","theoretical_quantile","standardized_residual_quantile"
380,0.297802824683543,0.347014251962807
381,0.302066163375963,0.350237538068321
382,0.306334999545609,0.350237538068321
383,0.310609425382256,0.35927244824775
384,0.314889533847094,0.35927244824775
385,0.319175418689279,0.362175432456484
386,0.323467174462778,0.368812630741178
387,0.327764896543533,0.374179428877158
388,0.332068681146942,0.378756919889811
389,0.336378625345669,0.378756919889811
390,0.340694827087795,0.381192308238172
391,0.345017385215322,0.388797397578682
392,0.349346399483022,0.388797397578682
393,0.35368197057767,0.390059797577616
394,0.358024200137645,0.390059797577616
395,0.362373190772923,0.391016242644415
396,0.366729046085477,0.391016242644418
397,0.371091870690076,0.420509042067363
398,0.375461770235518,0.426032899234251
399,0.379838851426297,0.433437881386018
400,0.384223222044712,0.438613709407444
401,0.388614990973445,0.438613709407444
402,0.393014268218606,0.440344515763067
403,0.397421164933271,0.451144054261456
404,0.401835793441518,0.451677964397398
405,0.40625826726298,0.453582747472563
406,0.410688701137931,0.454917196094997
407,0.415127211052917,0.454917196094997
408,0.41957391426695,0.47302321909819
409,0.42402892933828,0.473143686327507
410,0.428492376151768,0.473794051117363
411,0.432964375946864,0.479267689606132
412,0.437445051346224,0.487500439452551
413,0.441934526384978,0.487500439452551
414,0.446432926540663,0.491337806408387
415,0.450940378763846,0.491337806408387
416,0.45545701150947,0.493202003237249
417,0.459982954768911,0.497668605402939
418,0.464518340102811,0.507222686101306
419,0.469063300674674,0.514227646391885
420,0.473617971285272,0.528085327594547
421,0.478182488407868,0.529490131477894
422,0.482756990224301,0.529490131477894
423,0.487341616661937,0.530240769120015
424,0.491936509431538,0.530240769120015
425,0.49654181206605,0.540014518119981
426,0.501157669960365,0.540014518119981
427,0.50578423041207,0.543388974092316
428,0.510421642663219,0.543388974092316
429,0.515070057943168,0.547100479159659
430,0.519729629512493,0.547100479159659
431,0.524400512708041,0.548470991352023
432,0.529082864989134,0.548470991352023
433,0.533776845984983,0.557687887137396
434,0.53848261754333,0.560589130808115
435,0.543200343780379,0.571861385700135
436,0.547930191132039,0.576206595535141
437,0.552672328406541,0.576206595535141
438,0.55742692683846,0.579404744785572
439,0.562194160144193,0.586509649916007
440,0.566974204578953,0.60894162728309
441,0.571767238995307,0.61872785032726
442,0.576573444903336,0.61872785032726
443,0.581393006532456,0.620858245683708
444,0.58622611089496,0.621218728087099
445,0.591072947851347,0.621218728087099
446,0.59593371017749,0.63658514807565
447,0.600808593633718,0.638201577720058
448,0.605697797035866,0.638201577720058
449,0.610601522328383,0.6458239328258
450,0.615519974659544,0.6458239328258
451,0.620453362458866,0.651171665636054
452,0.625401897516792,0.653052234014621
453,0.630365795066734,0.653052234014621
454,0.635345273869554,0.661610092695389
455,0.640340556300571,0.676151573816835
456,0.645351868439204,0.677284071761054
457,0.650379440161323,0.690137118903388
458,0.655423505234427,0.690137118903388
459,0.66048430141575,0.707101750699721
460,0.66556207055341,0.707101750699721
461,0.670657058690698,0.70726158838671
462,0.675769516173661,0.70726158838671
463,0.680899697762067,0.725191431203816
464,0.68604786274392,0.731078287730419
465,0.691214275053625,0.731078287730419
466,0.69639920339399,0.732813726324063
467,0.70160292136217,0.732909918146191
468,0.706825707579754,0.734479625299805
469,0.712067845827121,0.734479625299805
470,0.717329625182271,0.749667447361296
471,0.72261134016429,0.749667447361296
472,0.727913290881644,0.757299725497406
473,0.733235783185512,0.757299725497406
474,0.738579128828344,0.773614618314287
475,0.743943645627887,0.779281814708539
476,0.749329657636892,0.779281814708539
477,0.754737495318746,0.780560038417715
478,0.760167495729286,0.781048968419514
479,0.765620002705057,0.801995147302479
480,0.77109536705829,0.801995147302479
481,0.776593946778901,0.806266746464831
482,0.78211610724381,0.817717277336405
483,0.787662221433909,0.817717277336405
484,0.793232670159018,0.827740424547911
485,0.798827842291189,0.827740424547911
486,0.804448135006733,0.830753138239111
487,0.810093954037373,0.830753138239111
488,0.815765713930935,0.840303433380126
489,0.821463838322018,0.840303433380126
490,0.827188760213129,0.849070623824999
491,0.832940922266738,0.850041762972998
492,0.838720777108807,0.850041762972998
493,0.844528787644322,0.867610319720971
494,0.850365427385411,0.867610319720971
495,0.856231180792658,0.870635612170051
496,0.862126543630265,0.870635612170051
497,0.86805202333574,0.872464644931363
498,0.874008139404836,0.872464644931363
499,0.879995423792515,0.874862848713553
500,0.886014421330738,0.874862848713553
501,0.892065690163944,0.887206591685598
502,0.898149802203142,0.892438688177243
503,0.904267343599568,0.892438688177248
504,0.910418915238944,0.894529793568083
505,0.916605133257428,0.894529793568083
506,0.922826629580415,0.898346561667337
507,0.929084052485426,0.898346561667337
508,0.935378067190379,0.902419078085537
509,0.941709356468668,0.902419078085537
510,0.948078621292505,0.924445040334325
511,0.954486581506126,0.941364897257898
512,0.960933976530554,0.95288767851773
513,0.967421566101701,0.95288767851773
514,0.973950131043749,0.960350161934448
515,0.980520474079859,0.960350161934448
516,0.987133420682404,0.962210829494031
517,0.993789819965064,0.962625014619904
518,1.00049054561931,0.964052598475475
519,1.00723649689799,0.964052598475475
520,1.01402859964879,0.970586436325058
521,1.02086780740087,0.970586436325058
522,1.02775510250775,0.978782292580932
523,1.03469149735023,0.980182910577126
524,1.04167803560302,1.01338291991475
525,1.0487157935693,1.01338291991475
526,1.05580588158753,1.01699593118765
527,1.06294944551553,1.01699593118765
528,1.07014766829662,1.01816202056305
529,1.07740177161378,1.01816202056305
530,1.08471301763749,1.04512211208444
531,1.09208271087401,1.04512211208444
532,1.09951220012096,1.04819466558459
533,1.10700288053791,1.0516456719128
534,1.11455619584011,1.0516456719128
535,1.12217364062451,1.06140522761239
536,1.12985676283752,1.06140522761239
537,1.13760716639541,1.07833923488061
538,1.14542651396847,1.08493400293812
539,1.15331652994181,1.08493400293812
540,1.16127900356626,1.09211490950882
541,1.16931579231436,1.09211490950882
542,1.17742882545769,1.10160484870322
543,1.18562010788351,1.10160484870322
544,1.19389172417017,1.10655204622987
545,1.20224584294268,1.10655204622987
546,1.21068472153224,1.11518567087886
547,1.21921071096535,1.11518567087886
548,1.22782626131127,1.12360367390279
549,1.23653392741923,1.12797433432269
550,1.24533637508006,1.16634510338665
551,1.2542363876509,1.17402659861317
552,1.26323687318533,1.17402659861317
553,1.27234087211634,1.20485943414264
