"family","scope","repeat_id","outer_fold","config_id","alpha","lambda_fraction","mean_metric","sd_metric","se_metric","n_valid","n_converged","one_se_threshold","eligible_one_se","selected_one_se"
"logistic","outer",5,4,6,0,0.1,0.476606722503992,0.0512584467074004,0.0229234742517595,5,5,0.491385931932643,TRUE,TRUE
"logistic","outer",5,4,7,0.25,0.1,0.507658689529858,0.0441593707589826,0.0197486709721403,5,5,0.491385931932643,FALSE,FALSE
"logistic","outer",5,4,8,0.5,0.1,0.539145059568903,0.0411812362669912,0.0184168087380944,5,5,0.491385931932643,FALSE,FALSE
"logistic","outer",5,4,9,0.75,0.1,0.554338264527198,0.0361296858154885,0.0161576866978285,5,5,0.491385931932643,FALSE,FALSE
"logistic","outer",5,4,10,1,0.1,0.567614022743163,0.0309373594583606,0.0138356077586481,5,5,0.491385931932643,FALSE,FALSE
"logistic","outer",5,4,11,0,0.01,0.47368372002339,0.0764457231066648,0.0341875666911258,5,5,0.491385931932643,TRUE,FALSE
"logistic","outer",5,4,12,0.25,0.01,0.469224947969247,0.0719514267044891,0.0321776562378663,5,5,0.491385931932643,TRUE,FALSE
"logistic","outer",5,4,13,0.5,0.01,0.466038352941506,0.0676526193232581,0.0302551711325442,5,5,0.491385931932643,TRUE,FALSE
"logistic","outer",5,4,14,0.75,0.01,0.464100385929682,0.063769515122133,0.028518594141058,5,5,0.491385931932643,TRUE,FALSE
"logistic","outer",5,4,15,1,0.01,0.463737809625665,0.0618230809286312,0.027648122306978,5,5,0.491385931932643,TRUE,FALSE
"logistic","outer",5,4,16,0,0.001,0.479332750791172,0.0846721659225663,0.0378665437609999,5,0,0.491385931932643,TRUE,FALSE
"logistic","outer",5,4,17,0.25,0.001,0.478585525948658,0.08474169687179,0.0378976389468008,5,0,0.491385931932643,TRUE,FALSE
"logistic","outer",5,4,18,0.5,0.001,0.477908523153431,0.085028892146971,0.038026076578425,5,0,0.491385931932643,TRUE,FALSE
"logistic","outer",5,4,19,0.75,0.001,0.477405307512905,0.0856167163147374,0.0382889595380136,5,0,0.491385931932643,TRUE,FALSE
"logistic","outer",5,4,20,1,0.001,0.477088337523246,0.0863963424432131,0.038637618942075,5,0,0.491385931932643,TRUE,FALSE
"continuous","outer",5,5,1,0,1,5.21118978334718,0.404961998725198,0.181104511490745,5,5,4.33042238801892,FALSE,FALSE
"continuous","outer",5,5,2,0.25,1,5.32478704539628,0.407271523819093,0.182137362511884,5,5,4.33042238801892,FALSE,FALSE
"continuous","outer",5,5,3,0.5,1,5.32478704539628,0.407271523819093,0.182137362511884,5,5,4.33042238801892,FALSE,FALSE
