"unit_type","unit","family","variable","component","additional","selection_count","selection_frequency","mean_abs_coefficient","median_abs_coefficient","n_models"
"termo","escoliometro_maior_10_graus","continuous","escoliometro_maior_10_graus","term",FALSE,50,1,0.848552189903606,0.32573643183209,50
"termo","escoliometro_maior_10_graus","logistic","escoliometro_maior_10_graus","term",FALSE,50,1,0.286494349721054,0.0591580155216544,50
"termo","flexibilidade","continuous","flexibilidade","term",FALSE,50,1,0.7709114542144,0.769301799284913,50
"termo","flexibilidade","logistic","flexibilidade","term",FALSE,50,1,0.318690296748048,0.3104375864323,50
"termo","idade","continuous","idade","term",TRUE,50,1,0.650197373526601,0.772461464703844,50
"termo","idade","logistic","idade","term",TRUE,50,1,0.250535935221461,0.267690353267774,50
"termo","idade_x_risser","continuous","idade_x_risser","term",TRUE,50,1,0.222850747413214,0.115229263664489,50
"termo","idade_x_risser","logistic","idade_x_risser","term",TRUE,50,1,0.0702366445929289,0.0520859388527398,50
"termo","imc","continuous","imc","term",TRUE,50,1,0.425819017722497,0.466690845835344,50
"termo","imc","logistic","imc","term",TRUE,50,1,0.260415400931857,0.141743379216642,50
"termo","lenke","continuous","lenke","term",FALSE,50,1,0.934733018124536,1.05194306510379,50
"termo","lenke","logistic","lenke","term",FALSE,50,1,0.347989515879976,0.354914985373007,50
"termo","lordose_lombar","continuous","lordose_lombar","term",TRUE,50,1,0.777633965552153,0.156245288597603,50
"termo","lordose_lombar","logistic","lordose_lombar","term",TRUE,50,1,0.537588754940021,0.211433630571186,50
"termo","risser","continuous","risser","term",FALSE,50,1,0.44911181917404,0.385784753911407,50
"termo","risser","logistic","risser","term",FALSE,50,1,0.341719742773632,0.203735384191277,50
"termo","sexo","continuous","sexo","term",FALSE,50,1,0.617779072635422,0.606039563348443,50
"termo","sexo","logistic","sexo","term",FALSE,50,1,0.631485567732337,0.596220163780172,50
"variavel_clinica","idade","continuous","idade","clinical_variable",TRUE,50,1,0.436524060469908,0.375385605186821,50
"variavel_clinica","imc","continuous","imc","clinical_variable",TRUE,50,1,0.425819017722497,0.466690845835344,50
"variavel_clinica","cifose_toracica","continuous","cifose_toracica","clinical_variable",TRUE,50,1,0.825383712171985,0.657964413090151,50
"variavel_clinica","lordose_lombar","continuous","lordose_lombar","clinical_variable",TRUE,50,1,0.777633965552153,0.156245288597603,50
"variavel_clinica","correcao_colete","continuous","correcao_colete","clinical_variable",TRUE,50,1,1.05855947964333,0.809738698883005,50
"variavel_clinica","cobb_inicial_maior","continuous","cobb_inicial_maior","clinical_variable",TRUE,50,1,0.991359567369966,0.861414739695565,50
"variavel_clinica","sexo","continuous","sexo","clinical_variable",FALSE,50,1,0.617779072635422,0.606039563348443,50
"variavel_clinica","lenke","continuous","lenke","clinical_variable",TRUE,50,1,0.894914383950201,0.992739866052073,50
"variavel_clinica","risser","continuous","risser","clinical_variable",TRUE,50,1,0.335981283293627,0.181995466701952,50
"variavel_clinica","flexibilidade","continuous","flexibilidade","clinical_variable",TRUE,50,1,0.655812300362133,0.657619673513429,50
"variavel_clinica","escoliometro_maior_10_graus","continuous","escoliometro_maior_10_graus","clinical_variable",FALSE,50,1,0.848552189903606,0.32573643183209,50
"variavel_clinica","idade","logistic","idade","clinical_variable",TRUE,50,1,0.160386289907195,0.103746286418622,50
"variavel_clinica","imc","logistic","imc","clinical_variable",TRUE,50,1,0.260415400931857,0.141743379216642,50
"variavel_clinica","cifose_toracica","logistic","cifose_toracica","clinical_variable",TRUE,50,1,0.466735571280174,0.43685984070567,50
"variavel_clinica","lordose_lombar","logistic","lordose_lombar","clinical_variable",TRUE,50,1,0.537588754940021,0.211433630571186,50
"variavel_clinica","correcao_colete","logistic","correcao_colete","clinical_variable",TRUE,50,1,0.540933794978249,0.399490402503988,50
"variavel_clinica","cobb_inicial_maior","logistic","cobb_inicial_maior","clinical_variable",TRUE,50,1,0.260031843260797,0.168391470982872,50
"variavel_clinica","sexo","logistic","sexo","clinical_variable",FALSE,50,1,0.631485567732337,0.596220163780172,50
"variavel_clinica","lenke","logistic","lenke","clinical_variable",TRUE,50,1,0.356393383978193,0.361223282700025,50
"variavel_clinica","risser","logistic","risser","clinical_variable",TRUE,50,1,0.205978193683281,0.125678394814921,50
"variavel_clinica","flexibilidade","logistic","flexibilidade","clinical_variable",TRUE,50,1,0.405141188586311,0.445634336074104,50
"variavel_clinica","escoliometro_maior_10_graus","logistic","escoliometro_maior_10_graus","clinical_variable",FALSE,50,1,0.286494349721054,0.0591580155216544,50
